"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","auc1","auc2","auc3","auc4","auc5","auc6","auc7","auc8","auc9","auc10"
"new_num_sum","num_var42","var15_ratio","num_var22_ult3","new_num_group5_prcnt","var15","num_var30","var38","saldo_var30","f_diff_saldo_var5_saldo_medio_var5_hace2","saldo_medio_var5_hace3","f_diff_var_15_var_38","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","var38_ratio","imp_op_var39_comer_ult3","num_of_used","num_var45_hace2","f_diff_var_15_var_36_less_60","n0","saldo_medio_var5_ult1","0.843911","0.833228","0.840346","0.825461","0.836598","0.831616","0.839478","0.810818","0.835196","0.839193"
"abs_f_diff_saldo_var5_30","new_num_prcnt","var15","imp_op_var41_comer_ult1","ind_comb_rank","f_num_quan_70_sum_saldo","ind_var30","var38_ratio","new_ind_var30_0","num_var35","saldo_var5","new_num_group5_sum","num_var30","f_diff_imp_op_var41_efect_comer_ult1","new_num_var5_0","num_var22_ult3","num_of_used","new_ind_0_group5_sum","f_diff_num_var30_4","new_num_group5_prcnt","0.846381","0.84346","0.83734","0.826652","0.829972","0.829226","0.839972","0.825896","0.830342","0.838055"
"saldo_var37","num_var22_ult3","saldo_var42","new_num_var30_0","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","var36","new_num_group5_prcnt","var15_ratio","abs_f_diff_num_var30_4","var38","abs_f_ratio_num_var5_saldo_var5","ind_var30","f_diff_saldo_medio_var5_ult13","imp_op_var41_ult1","imp_op_var41_comer_ult1","imp_op_var39_comer_ult3","f_diff_var_15_var_36_cutpoint_smaller","imp_op_var41_efect_ult1","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_diff_var_15_var_36_less_60","0.83975","0.841323","0.835609","0.826604","0.835422","0.829034","0.836047","0.805146","0.832434","0.845344"
"abs_f_ratio_num_var30_saldo_var30","saldo_medio_var5_ult3","saldo_medio_var8_ult1","max.saldo","saldo_medio_var5_hace3","f_diff_num_var45_ult13","saldo_medio_var5_ult1","saldo_var5","f_num_3_sum_num","f_diff_var_15_var_36_rank","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","saldo_medio_var5_hace2","imp_ent_var16_ult1","num_quantile_diff_3","nonzerocount.saldo","new_ind_var30_0","ind_comb_rank","imp_op_var39_ult1","var15","f_diff_saldo_var5_saldo_medio_var5_ult1","0.824815","0.823502","0.834309","0.809795","0.822058","0.806066","0.829712","0.812758","0.81624","0.834428"
"var15_ratio","nonzerocount.saldo","imp_op_var39_comer_ult3","var38","new_ind_var5_0","f_diff_saldo_medio_var5_8_ult11","sald0_quantile_diff_2","abs_f_diff_saldo_var5_42","imp_op_var41_comer_ult3","num_var45_hace2","saldo_var30","abs_f_ratio_num_var5_saldo_var5","f_diff_saldo_var5_saldo_medio_var5_hace2","new_num_var30_0","abs_f_diff_num_var30_4","f_num_non_zero_sum_ind","f_diff_var_15_var_36_cutpoint_smaller","imp_ent_var16_ult1","f_diff_var_15_var_36_less_60","num_var42","0.833252","0.84075","0.818018","0.816236","0.834443","0.828491","0.834456","0.808627","0.823623","0.83249"
"var38_ratio","var15","new_ind_group5_sum","f_diff_var_15_var_36_cutpoint_smaller","f_diff_num_var30_4","num_quantile_diff_1","saldo_var8","nonzerocount.saldo","f_diff_saldo_medio_var5_8_ult11","num_meses_var39_vig_ult3","f_diff_saldo_medio_var5_ult13","num_meses_var5_ult3","f_diff_num_var22_ult3_num_med_var45_ult3","new_ind_sum","num_var30","var15_ratio","abs_f_diff_num_var22_ult3_num_med_var45_ult3","n0","f_diff_imp_op_var41_efect_comer_ult1","abs_f_diff_saldo_var5_30","0.843338","0.840958","0.813309","0.823711","0.834814","0.803354","0.840365","0.825618","0.831999","0.849845"
"num_var5","f_ratio_num_var42_saldo_var42","abs_f_ratio_num_var30_saldo_var30","var38_ratio","n0","saldo_medio_var5_hace3","num_med_var22_ult3","num_var45_hace3","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","new_ind_group5_sum","var15","num_var45_ult3","var36","saldo_var42","new_ftr_ult1_ult3_ratio_saldo_medio_var5","max.saldo","f_num_3_sum_num","abs_f_diff_saldo_var5_30","var15_ratio","saldo_var5","0.842254","0.823195","0.836828","0.821304","0.833395","0.829741","0.83726","0.811226","0.824926","0.839753"
"nonzerocount.saldo","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","new_num_var30_0","num_var5","imp_ent_var16_ult1","f_diff_saldo_medio_var5_ult13","f_diff_var_15_var_36_less_60","saldo_var30","f_diff_var_15_var_36_rank","f_diff_imp_op_var41_efect_comer_ult1","f_diff_num_var30_4","num_quantile_diff_3","f_diff_var_15_var_36_cutpoint_smaller","num_of_used","abs_f_diff_num_var30_4","num_var22_hace3","saldo_var42","new_ind_var5_0","sald0_quantile_diff_3","max.saldo","0.815396","0.822506","0.821628","0.807746","0.81999","0.803401","0.814378","0.804554","0.816006","0.8348"
"new_num_var30_0","f_num_non_zero_sum_ind","num_of_used","new_ftr_ult1_ult3_ratio_num_var22","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","new_ind_sum","num_var35","var15_ratio","new_ind_var5_0","new_num_group5_prcnt","f_diff_var_15_var_36_rank","new_ind_var30_0","saldo_var42","num_var22_ult3","abs_f_diff_saldo_medio_var5_8_ult11","new_num_group5_sum","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","f_num_quan_70_sum_saldo","num_var45_ult1","num_meses_var39_vig_ult3","0.824115","0.819865","0.818903","0.817448","0.81483","0.808046","0.817792","0.811623","0.826024","0.824674"
"num_var35","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","num_var4","saldo_medio_var5_hace2","f_diff_var_15_var_36_less_60","nonzerocount.saldo","new_ftr_ult1_ult3_ratio_num_var45","saldo_var5","f_diff_var_15_var_36_rank","new_ind_sum","nonzerocount.num","num_med_var22_ult3","saldo_var30","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","new_ftr_ult1_ult3_ratio_saldo_medio_var5","saldo_medio_var5_ult1","saldo_var8","new_ind_var30_0","ind_var5","var38_ratio","0.841425","0.803964","0.83911","0.827036","0.837527","0.827915","0.835381","0.826316","0.834314","0.84547"
"n0","new_num_var5_0","var38_ratio","f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_var_15_var_36_less_60","f_diff_saldo_var5_saldo_medio_var5_hace2","saldo_var5","ind_comb_rank","new_ind_var5_0","num_var4","nonzerocount.num","num_var35","new_ind_sum","num_var22_hace3","f_diff_var_15_var_36_rank","ind_var30","new_num_prcnt","new_num_group5_sum","var36","max.saldo","0.837151","0.835556","0.832253","0.823745","0.832444","0.820909","0.833289","0.824724","0.82694","0.838889"
"var38_ratio","new_ftr_ult1_ult3_ratio_saldo_medio_var5","saldo_medio_var5_hace2","var15","saldo_medio_var5_ult1","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","f_diff_var_15_var_36_less_60","new_ind_var30_0","f_ratio_num_var42_saldo_var42","saldo_var5","new_num_group5_sum","new_num_group5_prcnt","saldo_medio_var5_ult3","num_var22_hace3","var36","saldo_var42","nonzerocount.saldo","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","0.836479","0.827919","0.835636","0.82441","0.818554","0.827163","0.819111","0.806763","0.812968","0.843507"
"new_ind_sum","new_num_group5_prcnt","f_num_quan_70_sum_saldo","abs_f_diff_saldo_medio_var5_ult13","new_ind_0_group5_sum","var15_ratio","new_ind_group5_sum","num_var30_0","f_diff_var_15_var_38","new_ftr_ult1_ult3_ratio_saldo_medio_var5","new_num_sum","saldo_medio_var5_ult1","saldo_var42","ind_comb_rank","new_num_var30_0","var15","abs_f_diff_num_var22_ult3_num_med_var45_ult3","new_ind_var30_0","new_num_group5_sum","f_ratio_num_var42_saldo_var42","0.838275","0.818641","0.832037","0.821658","0.817085","0.824296","0.834693","0.803684","0.8177","0.844206"
"num_var22_hace2","imp_op_var39_comer_ult3","saldo_var5","num_var5","abs_f_diff_saldo_medio_var5_ult13","f_diff_var_15_var_38","var36","new_num_group5_sum","abs_f_diff_saldo_medio_var5_8_ult11","abs_f_diff_num_var30_4","abs_f_diff_saldo_var5_42","f_diff_var_15_var_36_rank","new_ind_0_group5_sum","imp_ent_var16_ult1","num_var45_hace2","saldo_medio_var5_hace2","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","var15_ratio","f_diff_saldo_var5_saldo_medio_var5_hace3","saldo_var42","0.83782","0.839943","0.833849","0.823541","0.834455","0.826932","0.835368","0.821396","0.829317","0.844282"
