"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","auc1","auc2","auc3","auc4","auc5","auc6","auc7","auc8","auc9","auc10"
"abs_f_diff_saldo_var5_30","abs_f_ratio_num_var30_saldo_var30","abs_f_ratio_num_var5_saldo_var5","var36","saldo_medio_var5_ult1","f_num_non_zero_sum_ind","var15","f_diff_num_var22_ult3_num_med_var45_ult3","ind_comb_rank","num_of_used","num_var30","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","num_var42","f_diff_var_15_var_36_cutpoint_smaller","new_ind_0_group5_sum","f_diff_saldo_var5_saldo_medio_var5_hace3","f_num_3_sum_num","f_diff_num_var43_emit_recib_ult1","num_meses_var39_vig_ult3","0.83257","0.832663","0.823588","0.801869","0.821403","0.802217","0.826683","0.817713","0.82484","0.839925"
"num_var45_ult1","n0","sald0_quantile_diff_2","abs_f_diff_saldo_medio_var5_ult13","new_ind_sum","saldo_var5","ind_comb_rank","var15","var36","new_ftr_ult1_ult3_ratio_num_var22","imp_op_var39_comer_ult1","imp_op_var41_efect_ult1","num_var22_hace2","f_diff_var_15_larger","num_var4","ind_var30","f_diff_saldo_var5_saldo_medio_var5_hace2","new_num_group5_prcnt","f_num_3_sum_num","0.82995","0.814963","0.826168","0.802673","0.825896","0.802177","0.825422","0.816807","0.822113","0.816906"
"new_num_group5_sum","saldo_medio_var5_ult3","imp_op_var39_efect_ult1","saldo_var5","num_var5","abs_f_diff_num_var30_4","abs_f_ratio_num_var30_saldo_var30","f_diff_num_var30_4","num_quantile_diff_1","var15_ratio","ind_comb_rank","num_var22_ult1","saldo_medio_var5_hace3","new_num_var30_0","new_ftr_ult1_ult3_ratio_saldo_medio_var5","num_meses_var5_ult3","abs_f_ratio_num_var5_saldo_var5","num_var42","var15","0.828195","0.829453","0.822423","0.811719","0.817","0.825283","0.823688","0.812982","0.819833","0.825928"
"f_diff_var_15_var_38","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","n0","f_diff_saldo_var5_saldo_medio_var5_hace3","saldo_medio_var5_ult1","var15","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","saldo_medio_var5_ult3","saldo_medio_var5_hace2","new_num_sum","num_var42","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","num_quantile_diff_1","saldo_var37","abs_f_diff_imp_op_var41_efect_comer_ult1","new_num_var30_0","var36","num_med_var22_ult3","f_diff_num_var30_4","0.831954","0.837098","0.83388","0.82508","0.820156","0.826548","0.836681","0.802982","0.810152","0.836432"
"num_var45_hace3","num_var42","abs_f_ratio_num_var30_saldo_var30","num_quantile_diff_1","n0","num_var5","abs_f_diff_saldo_medio_var5_ult13","saldo_var30","new_num_sum","ind_comb_rank","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","ind_var30","saldo_medio_var5_ult3","num_meses_var39_vig_ult3","nonzerocount.saldo","num_var22_ult1","var15","num_var35","nonzerocount.num","0.838463","0.828501","0.81897","0.812947","0.821425","0.81169","0.832721","0.820067","0.829802","0.836092"
"ind_var30","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_diff_var_15_var_38","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_saldo_var5_saldo_medio_var5_hace2","num_var22_hace3","num_meses_var5_ult3","num_var42","f_diff_var_15_var_36_cutpoint_smaller","abs_f_diff_saldo_var5_42","ind_var5","var38_ratio","abs_f_diff_saldo_var5_30","imp_op_var39_comer_ult1","sald0_quantile_diff_3","var15_ratio","saldo_var30","saldo_medio_var5_ult3","0.83652","0.837332","0.833103","0.818604","0.819989","0.824625","0.831616","0.809399","0.827146","0.843391"
"new_ind_var5_0","saldo_medio_var8_ult1","num_var35","new_num_group5_prcnt","f_diff_saldo_medio_var5_ult13","num_var45_ult1","new_ftr_ult1_ult3_ratio_num_var22","f_diff_saldo_var5_saldo_medio_var5_ult1","var15_ratio","nonzerocount.saldo","var38","f_diff_var_15_var_36_cutpoint_smaller","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","var36","f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_var_15_var_38","abs_f_ratio_num_var30_saldo_var30","var15","new_num_sum","0.838609","0.839475","0.834613","0.808264","0.816095","0.826667","0.834611","0.821597","0.82993","0.838099"
"num_quantile_diff_1","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","f_diff_imp_op_var41_efect_comer_ult1","new_ind_group5_sum","var15","ind_var5","n0","f_diff_var_15_larger","var15_ratio","new_num_prcnt","num_var42","num_var30","new_num_var5_0","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_var_15_var_36_less_60","f_ratio_num_var42_saldo_var42","f_diff_num_var30_4","var36","abs_f_diff_saldo_medio_var5_8_ult11","0.823035","0.815273","0.814371","0.800726","0.813598","0.802623","0.825924","0.813703","0.804045","0.835203"
"f_diff_var_15_larger","n0","num_var45_hace3","saldo_var42","saldo_var5","f_num_quan_70_sum_saldo","f_num_3_sum_num","saldo_medio_var5_hace2","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","ind_comb_rank","f_diff_num_var45_ult13","new_ftr_ult1_ult3_ratio_num_var22","abs_f_ratio_num_var30_saldo_var30","imp_trans_var37_ult1","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","var15_ratio","saldo_var30","f_diff_saldo_medio_var5_8_ult11","var36","0.835508","0.823322","0.828762","0.808375","0.820958","0.810148","0.814496","0.802675","0.815541","0.832216"
"num_of_used","nonzerocount.saldo","var38_ratio","num_var4","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","num_var45_hace3","abs_f_ratio_num_var5_saldo_var5","f_diff_var_15_var_36_rank","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","var15_ratio","new_num_group5_sum","f_diff_var_15_var_36_cutpoint_smaller","f_diff_saldo_var5_saldo_medio_var5_hace3","new_num_group5_prcnt","imp_ent_var16_ult1","var38","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","new_ind_group5_sum","saldo_var30","0.83838","0.839351","0.813089","0.809648","0.835156","0.811067","0.823583","0.824133","0.82943","0.833802"
"ind_var30","saldo_medio_var5_hace3","var38_ratio","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","saldo_var5","saldo_var30","num_quantile_diff_3","f_diff_var_15_larger","f_diff_saldo_medio_var5_8_ult11","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","ind_var5","imp_op_var41_efect_ult1","f_num_non_zero_sum_ind","imp_var43_emit_ult1","num_meses_var39_vig_ult3","new_ftr_ult1_ult3_ratio_saldo_medio_var5","abs_f_diff_saldo_var5_30","f_diff_var_15_var_38","var15_ratio","0.838178","0.839105","0.82574","0.821059","0.834872","0.829408","0.835982","0.823942","0.824748","0.841004"
"var36","num_var45_ult3","new_ind_sum","new_num_var8_0","nonzerocount.saldo","saldo_medio_var5_ult1","saldo_var42","abs_f_diff_num_var30_4","f_diff_saldo_var5_saldo_medio_var5_hace2","num_med_var45_ult3","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","var38","new_num_var30_0","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","new_num_group5_sum","num_var22_hace2","f_diff_var_15_var_38","var15","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","0.83907","0.821207","0.834002","0.810399","0.833474","0.829291","0.835308","0.804741","0.819061","0.845285"
"num_var45_hace2","f_diff_var_15_var_36_rank","ind_var5","saldo_medio_var8_ult3","num_of_used","saldo_var30","num_var42","f_diff_saldo_var5_saldo_medio_var5_ult1","num_var30","num_meses_var5_ult3","num_var22_ult1","new_num_0_group5_sum","f_diff_var_15_var_36_cutpoint_smaller","f_diff_num_var45_ult13","var38_ratio","f_diff_var_15_var_38","imp_op_var41_ult1","max.saldo","n0","0.841211","0.841744","0.841196","0.809838","0.816774","0.808238","0.823259","0.810561","0.836157","0.844074"
"abs_f_ratio_num_var30_saldo_var30","num_var30","num_var22_ult3","f_diff_saldo_var5_saldo_medio_var5_hace3","num_of_used","sald0_quantile_diff_2","num_var42","f_diff_num_var30_4","var15","saldo_medio_var5_ult1","num_quantile_diff_3","var15_ratio","f_diff_saldo_var5_saldo_medio_var5_hace2","abs_f_ratio_num_var5_saldo_var5","new_ind_sum","num_quantile_diff_1","f_diff_var_15_larger","num_var45_ult1","f_diff_var_15_var_36_rank","0.827829","0.827837","0.823774","0.806839","0.815849","0.822601","0.817762","0.815655","0.816716","0.832621"
"abs_f_diff_saldo_var5_42","num_meses_var5_ult3","saldo_medio_var5_ult1","f_num_non_zero_sum_ind","f_diff_var_15_var_36_cutpoint_smaller","var15","f_ratio_num_var42_saldo_var42","ind_var30","num_var45_hace2","abs_f_diff_saldo_medio_var5_ult13","f_diff_var_15_var_38","num_var45_hace3","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","max.saldo","f_diff_num_var45_ult13","f_diff_num_var30_4","new_num_group5_sum","f_diff_var_15_var_36_less_60","f_diff_var_15_var_36_rank","0.838426","0.838119","0.834596","0.821602","0.832988","0.825619","0.83473","0.822327","0.830305","0.842897"
"abs_f_diff_saldo_var5_saldo_medio_var5_ult1","f_diff_num_var30_4","ind_var5","f_diff_num_var22_ult3_num_med_var45_ult3","saldo_var42","abs_f_diff_num_var30_4","var15","abs_f_diff_saldo_var5_42","saldo_var30","f_diff_saldo_var5_saldo_medio_var5_ult1","var36","new_ind_var30_0","saldo_medio_var5_hace3","num_var4","num_of_used","max.saldo","f_diff_var_15_var_36_cutpoint_smaller","abs_f_ratio_num_var30_saldo_var30","f_diff_saldo_var5_saldo_medio_var5_hace2","0.827157","0.816664","0.827847","0.803876","0.815899","0.820187","0.825026","0.803854","0.824577","0.829981"
"abs_f_diff_saldo_var5_42","num_meses_var39_vig_ult3","num_med_var45_ult3","num_quantile_diff_3","f_num_non_zero_sum_ind","saldo_var42","saldo_var30","num_var22_ult3","f_diff_var_15_larger","sald0_quantile_diff_2","abs_f_diff_num_var22_ult3_num_med_var45_ult3","nonzerocount.saldo","new_ind_var5_0","new_num_prcnt","new_ind_group5_sum","abs_f_diff_imp_op_var41_efect_comer_ult1","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","var15","f_diff_saldo_var5_saldo_medio_var5_hace3","0.830632","0.826281","0.826947","0.811945","0.823016","0.807573","0.81767","0.821185","0.820816","0.831871"
"new_num_var5_0","f_diff_saldo_medio_var5_8_ult11","new_ftr_ult1_ult3_ratio_saldo_medio_var5","var15_ratio","num_var42","var15","abs_f_ratio_num_var5_saldo_var5","f_diff_var_15_var_36_less_60","ind_comb_rank","ind_var5","num_var35","new_num_group5_prcnt","f_diff_num_var30_4","abs_f_diff_num_var30_4","abs_f_diff_saldo_var5_30","f_diff_saldo_medio_var5_ult13","new_num_sum","var38_ratio","num_of_used","0.824197","0.837348","0.832195","0.811593","0.833544","0.824353","0.835338","0.817613","0.825894","0.843927"
"num_of_used","imp_op_var39_efect_ult3","var38","num_var22_ult3","saldo_var42","abs_f_diff_saldo_var5_30","var15_ratio","num_var42","f_diff_saldo_var5_saldo_medio_var5_ult1","f_diff_saldo_var5_saldo_medio_var5_hace2","new_ftr_ult1_ult3_ratio_saldo_medio_var5","f_diff_num_var30_4","num_med_var22_ult3","abs_f_diff_num_var30_4","new_ind_sum","f_diff_var_15_var_36_cutpoint_smaller","f_diff_var_15_var_38","saldo_var8","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","0.837079","0.840247","0.83451","0.825336","0.80992","0.830582","0.803375","0.804811","0.832068","0.846156"
"var15","imp_op_var39_comer_ult3","new_ind_group5_sum","new_num_group5_prcnt","var15_ratio","num_quantile_diff_1","abs_f_ratio_num_var5_saldo_var5","new_ind_var5_0","num_quantile_diff_3","f_diff_var_15_var_36_rank","n0","var36","abs_f_diff_saldo_medio_var5_ult13","f_diff_saldo_var5_saldo_medio_var5_ult1","f_diff_saldo_medio_var5_8_ult11","saldo_medio_var5_ult1","f_diff_var_15_var_38","f_diff_num_var30_4","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","0.826621","0.836392","0.830089","0.822923","0.817812","0.825473","0.831163","0.820625","0.829714","0.843034"
"num_var4","var15_ratio","nonzerocount.saldo","f_diff_saldo_medio_var5_ult13","saldo_var30","ind_var30","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_diff_var_15_var_36_cutpoint_smaller","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","abs_f_ratio_num_var30_saldo_var30","f_diff_saldo_var5_saldo_medio_var5_hace3","num_meses_var5_ult3","f_ratio_num_var42_saldo_var42","num_of_used","imp_op_var41_ult1","new_ind_sum","new_ftr_ult1_ult3_ratio_saldo_medio_var5","sald0_quantile_diff_3","saldo_var8","0.820724","0.813111","0.81192","0.811089","0.815296","0.813538","0.809584","0.8043","0.818466","0.832691"
"new_num_prcnt","f_ratio_num_var42_saldo_var42","f_diff_imp_op_var41_efect_comer_ult1","abs_f_diff_saldo_var5_42","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","var38_ratio","saldo_medio_var5_ult3","f_diff_var_15_var_36_less_60","f_diff_saldo_var5_saldo_medio_var5_ult1","nonzerocount.saldo","num_var42","f_diff_saldo_medio_var5_ult13","abs_f_ratio_num_var30_saldo_var30","var15_ratio","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","saldo_medio_var5_hace3","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","abs_f_diff_num_var30_4","num_med_var22_ult3","0.829358","0.82601","0.825167","0.81917","0.812635","0.813372","0.837393","0.823252","0.830421","0.839974"
