Rounds,Depth,mcw,r_sample,c_sample,eta,scale_pos_weight,auc_max,std,best_round
3000,4,0.5,0.7,0.5,0.01,1,0.8414994,0.014525,1058.16666666667
3000,4,0.5,0.7,0.5,0.01,2,0.8414556,0.0147818,909
3000,4,0.5,0.7,0.5,0.01,3,0.8413734,0.0144128,888.8
3000,4,0.5,0.7,0.5,0.005,1,0.8414328,0.0145706,1720.2
3000,4,0.5,0.7,0.5,0.005,2,0.841547,0.0145048,1772.33333333333
3000,4,0.5,0.7,0.5,0.005,3,0.8411572,0.014463,1371.8
3000,4,0.5,0.7,0.6,0.05,1,0.8407642,0.014553,193.6
3000,4,0.5,0.7,0.6,0.05,2,0.840149,0.0147416,205.166666666667
3000,4,0.5,0.7,0.6,0.05,3,0.8397248,0.0140398,126.8
3000,4,0.5,0.7,0.6,0.01,1,0.8413118,0.0147642,994
3000,4,0.5,0.7,0.6,0.01,2,0.8415026,0.0148606,993.8
3000,4,0.5,0.7,0.6,0.01,3,0.8411568,0.0146428,867.5
3000,4,0.5,0.7,0.6,0.005,1,0.841481,0.014619,1774.8
3000,4,0.5,0.7,0.6,0.005,2,0.8414928,0.014707,1666.8
3000,4,0.5,0.7,0.6,0.005,3,0.841168,0.0147308,1513.4
3000,4,0.5,0.7,0.7,0.05,1,0.8404878,0.0146094,194.2
3000,4,0.5,0.7,0.7,0.05,2,0.84061,0.0142716,234.6
3000,4,0.5,0.7,0.7,0.05,3,0.8407026,0.0141112,182.666666666667
3000,4,0.5,0.7,0.7,0.01,1,0.84157,0.0146044,993
3000,4,0.5,0.7,0.7,0.01,2,0.84126,0.0147524,920.2
3000,4,0.5,0.7,0.7,0.01,3,0.8410988,0.0147014,852.833333333333
3000,4,0.5,0.7,0.7,0.005,1,0.8414058,0.0145902,1690.6
3000,4,0.5,0.7,0.7,0.005,2,0.8414278,0.0148716,1683
3000,4,0.5,0.7,0.7,0.005,3,0.8410244,0.0149464,1384.8
3000,4,0.5,0.8,0.5,0.05,1,0.8406388,0.014239,204.2
3000,4,0.5,0.8,0.5,0.05,2,0.8405582,0.0141954,172.8
3000,4,0.5,0.8,0.5,0.05,3,0.8409794,0.0139638,157
3000,4,0.5,0.8,0.5,0.01,1,0.8414674,0.0143614,1089.8
