Rounds,Depth,r_sample,c_sample,eta,scale_pos_weight,auc_max,best_round
300,6,0.75,0.8,0.01,0.8,0.837882,300
300,6,0.75,0.8,0.01,1,0.838745,296
300,6,0.75,0.8,0.01,10,0.840962,261
300,6,0.75,0.8,0.01,24.2726063829787,0.839602,229
300,6,0.75,0.8,0.005,0.8,0.832264,300
300,6,0.75,0.8,0.005,1,0.833894,300
300,6,0.75,0.8,0.005,10,0.840097,300
300,6,0.75,0.8,0.005,24.2726063829787,0.839155,297
300,6,0.75,0.85,0.05,0.8,0.841138,140
300,6,0.75,0.85,0.05,1,0.840806,159
300,6,0.75,0.85,0.05,10,0.839965,82
300,6,0.75,0.85,0.05,24.2726063829787,0.837901,40
300,6,0.75,0.85,0.01,0.8,0.838066,300
300,6,0.75,0.85,0.01,1,0.838671,300
300,6,0.75,0.85,0.01,10,0.840858,264
300,6,0.75,0.85,0.01,24.2726063829787,0.839188,233
300,6,0.75,0.85,0.005,0.8,0.832645,298
300,6,0.75,0.85,0.005,1,0.834041,296
300,6,0.75,0.85,0.005,10,0.840042,300
300,6,0.75,0.85,0.005,24.2726063829787,0.838974,297
300,6,0.85,0.75,0.05,0.8,0.841187,158
300,6,0.85,0.75,0.05,1,0.841239,123
300,6,0.85,0.75,0.05,10,0.840448,73
300,6,0.85,0.75,0.05,24.2726063829787,0.838774,69
300,6,0.85,0.75,0.01,0.8,0.837344,300
300,6,0.85,0.75,0.01,1,0.838256,300
300,6,0.85,0.75,0.01,10,0.841079,280
300,6,0.85,0.75,0.01,24.2726063829787,0.839509,222
300,6,0.85,0.75,0.005,0.8,0.831513,300
300,6,0.85,0.75,0.005,1,0.83333,300
300,6,0.85,0.75,0.005,10,0.840364,299
300,6,0.85,0.75,0.005,24.2726063829787,0.839046,296
300,6,0.85,0.8,0.05,0.8,0.840659,137
300,6,0.85,0.8,0.05,1,0.841523,116
300,6,0.85,0.8,0.05,10,0.839947,46
300,6,0.85,0.8,0.05,24.2726063829787,0.838737,69
300,6,0.85,0.8,0.01,0.8,0.837691,300
300,6,0.85,0.8,0.01,1,0.838307,300
300,6,0.85,0.8,0.01,10,0.840757,278
300,6,0.85,0.8,0.01,24.2726063829787,0.839219,147
300,6,0.85,0.8,0.005,0.8,0.832237,300
300,6,0.85,0.8,0.005,1,0.833743,300
300,6,0.85,0.8,0.005,10,0.840175,300
