,Rounds,Depth,r_sample,c_sample,eta,auc_max,best_round
269,100,6,0.75,0.8,0.1,0.840673,73
270,100,6,0.75,0.8,0.01,0.831064,98
271,100,6,0.75,0.8,0.001,0.824944,58
272,100,6,0.75,0.8,1e-04,0.823709,23
273,100,6,0.75,1,0.1,0.84018,57
274,100,6,0.75,1,0.01,0.830639,100
275,100,6,0.75,1,0.001,0.822663,45
276,100,6,0.75,1,1e-04,0.82204,46
277,100,6,1,0.6,0.1,0.840674,92
278,100,6,1,0.6,0.01,0.827036,99
279,100,6,1,0.6,0.001,0.816758,39
280,100,6,1,0.6,1e-04,0.815682,23
281,100,6,1,0.8,0.1,0.839967,59
282,100,6,1,0.8,0.01,0.82989,99
283,100,6,1,0.8,0.001,0.819575,40
284,100,6,1,0.8,1e-04,0.818724,62
285,100,6,1,1,0.1,0.83872,45
286,100,6,1,1,0.01,0.827509,99
287,100,6,1,1,0.001,0.815001,97
288,100,6,1,1,1e-04,0.806544,17
289,100,8,0.5,0.6,0.1,0.837382,63
290,100,8,0.5,0.6,0.01,0.827976,95
291,100,8,0.5,0.6,0.001,0.81877,22
292,100,8,0.5,0.6,1e-04,0.81837,22
293,100,8,0.5,0.8,0.1,0.837775,50
294,100,8,0.5,0.8,0.01,0.831569,100
295,100,8,0.5,0.8,0.001,0.824612,19
296,100,8,0.5,0.8,1e-04,0.82454,22
297,100,8,0.5,1,0.1,0.837087,34
298,100,8,0.5,1,0.01,0.830635,100
299,100,8,0.5,1,0.001,0.824257,39
300,100,8,0.5,1,1e-04,0.823873,37
301,100,8,0.75,0.6,0.1,0.839601,71
302,100,8,0.75,0.6,0.01,0.829115,99
303,100,8,0.75,0.6,0.001,0.822044,26
304,100,8,0.75,0.6,1e-04,0.821456,22
305,100,8,0.75,0.8,0.1,0.838537,45
306,100,8,0.75,0.8,0.01,0.833176,100
307,100,8,0.75,0.8,0.001,0.826055,23
308,100,8,0.75,0.8,1e-04,0.825604,26
309,100,8,0.75,1,0.1,0.838648,47
310,100,8,0.75,1,0.01,0.832389,100
311,100,8,0.75,1,0.001,0.823819,59
312,100,8,0.75,1,1e-04,0.822966,45
313,100,8,1,0.6,0.1,0.837894,78
314,100,8,1,0.6,0.01,0.828436,100
315,100,8,1,0.6,0.001,0.818966,41
316,100,8,1,0.6,1e-04,0.817684,23
317,100,8,1,0.8,0.1,0.838536,39
318,100,8,1,0.8,0.01,0.830879,100
319,100,8,1,0.8,0.001,0.82225,51
320,100,8,1,0.8,1e-04,0.821068,64
321,100,8,1,1,0.1,0.83708,39
322,100,8,1,1,0.01,0.828236,100
323,100,8,1,1,0.001,0.81135,29
324,100,8,1,1,1e-04,0.809709,21
325,100,10,0.5,0.6,0.1,0.831521,22
326,100,10,0.5,0.6,0.01,0.828209,99
327,100,10,0.5,0.6,0.001,0.819054,22
328,100,10,0.5,0.6,1e-04,0.819302,22
329,100,10,0.5,0.8,0.1,0.835489,44
330,100,10,0.5,0.8,0.01,0.831707,100
331,100,10,0.5,0.8,0.001,0.824926,20
332,100,10,0.5,0.8,1e-04,0.824837,20
333,100,10,0.5,1,0.1,0.835203,33
334,100,10,0.5,1,0.01,0.831475,100
335,100,10,0.5,1,0.001,0.824759,50
336,100,10,0.5,1,1e-04,0.82429,38
337,100,10,0.75,0.6,0.1,0.835404,64
338,100,10,0.75,0.6,0.01,0.829002,99
339,100,10,0.75,0.6,0.001,0.822775,22
340,100,10,0.75,0.6,1e-04,0.82274,22
341,100,10,0.75,0.8,0.1,0.836178,32
342,100,10,0.75,0.8,0.01,0.833511,100
343,100,10,0.75,0.8,0.001,0.827173,21
344,100,10,0.75,0.8,1e-04,0.826382,20
345,100,10,0.75,1,0.1,0.835027,33
346,100,10,0.75,1,0.01,0.832523,100
347,100,10,0.75,1,0.001,0.824286,40
348,100,10,0.75,1,1e-04,0.823952,40
349,100,10,1,0.6,0.1,0.833549,43
350,100,10,1,0.6,0.01,0.828459,100
351,100,10,1,0.6,0.001,0.820384,40
352,100,10,1,0.6,1e-04,0.818772,23
353,100,10,1,0.8,0.1,0.834955,41
354,100,10,1,0.8,0.01,0.831404,100
355,100,10,1,0.8,0.001,0.822626,40
356,100,10,1,0.8,1e-04,0.82145,53
357,100,10,1,1,0.1,0.833012,27
358,100,10,1,1,0.01,0.827541,98
359,100,10,1,1,0.001,0.815505,100
360,100,10,1,1,1e-04,0.809547,23
361,500,2,0.5,0.6,0.1,0.838366,139
362,500,2,0.5,0.6,0.01,0.830922,499
363,500,2,0.5,0.6,0.001,0.781827,43
364,500,2,0.5,0.6,1e-04,0.782097,45
365,500,2,0.5,0.8,0.1,0.838318,199
366,500,2,0.5,0.8,0.01,0.830027,500
367,500,2,0.5,0.8,0.001,0.782076,117
368,500,2,0.5,0.8,1e-04,0.781664,45
369,500,2,0.5,1,0.1,0.838474,203
370,500,2,0.5,1,0.01,0.82957,500
371,500,2,0.5,1,0.001,0.778112,55
372,500,2,0.5,1,1e-04,0.777535,35
373,500,2,0.75,0.6,0.1,0.838721,205
374,500,2,0.75,0.6,0.01,0.830569,500
375,500,2,0.75,0.6,0.001,0.782145,140
376,500,2,0.75,0.6,1e-04,0.781362,74
377,500,2,0.75,0.8,0.1,0.838719,192
378,500,2,0.75,0.8,0.01,0.829204,500
379,500,2,0.75,0.8,0.001,0.781778,46
380,500,2,0.75,0.8,1e-04,0.781478,44
381,500,2,0.75,1,0.1,0.838839,186
382,500,2,0.75,1,0.01,0.828491,500
383,500,2,0.75,1,0.001,0.780392,109
384,500,2,0.75,1,1e-04,0.778875,53
385,500,2,1,0.6,0.1,0.838944,253
386,500,2,1,0.6,0.01,0.829534,500
387,500,2,1,0.6,0.001,0.781467,468
388,500,2,1,0.6,1e-04,0.776515,20
389,500,2,1,0.8,0.1,0.838373,238
390,500,2,1,0.8,0.01,0.828002,500
391,500,2,1,0.8,0.001,0.779754,23
392,500,2,1,0.8,1e-04,0.78017,28
393,500,2,1,1,0.1,0.838506,287
394,500,2,1,1,0.01,0.827528,500
395,500,2,1,1,0.001,0.778318,323
396,500,2,1,1,1e-04,0.75832,24
397,500,4,0.5,0.6,0.1,0.840379,91
398,500,4,0.5,0.6,0.01,0.839,500
399,500,4,0.5,0.6,0.001,0.817258,500
400,500,4,0.5,0.6,1e-04,0.809665,22
401,500,4,0.5,0.8,0.1,0.839074,101
402,500,4,0.5,0.8,0.01,0.839096,500
403,500,4,0.5,0.8,0.001,0.825262,500
404,500,4,0.5,0.8,1e-04,0.820891,169
405,500,4,0.5,1,0.1,0.839159,70
406,500,4,0.5,1,0.01,0.838759,500
407,500,4,0.5,1,0.001,0.820703,31
408,500,4,0.5,1,1e-04,0.821283,246
409,500,4,0.75,0.6,0.1,0.841003,81
410,500,4,0.75,0.6,0.01,0.83926,500
411,500,4,0.75,0.6,0.001,0.817134,495
412,500,4,0.75,0.6,1e-04,0.809581,78
413,500,4,0.75,0.8,0.1,0.840349,85
414,500,4,0.75,0.8,0.01,0.839181,500
415,500,4,0.75,0.8,0.001,0.824784,500
416,500,4,0.75,0.8,1e-04,0.820922,163
417,500,4,0.75,1,0.1,0.839729,97
418,500,4,0.75,1,0.01,0.838253,500
419,500,4,0.75,1,0.001,0.823441,492
420,500,4,0.75,1,1e-04,0.818829,195
421,500,4,1,0.6,0.1,0.841139,108
422,500,4,1,0.6,0.01,0.838769,500
423,500,4,1,0.6,0.001,0.808089,34
424,500,4,1,0.6,1e-04,0.806732,34
425,500,4,1,0.8,0.1,0.84056,118
426,500,4,1,0.8,0.01,0.838522,500
427,500,4,1,0.8,0.001,0.822183,500
428,500,4,1,0.8,1e-04,0.813967,498
429,500,4,1,1,0.1,0.839879,113
430,500,4,1,1,0.01,0.837382,500
431,500,4,1,1,0.001,0.818793,497
432,500,4,1,1,1e-04,0.798904,37
433,500,6,0.5,0.6,0.1,0.839244,71
434,500,6,0.5,0.6,0.01,0.840768,500
435,500,6,0.5,0.6,0.001,0.822751,500
436,500,6,0.5,0.6,1e-04,0.816371,22
437,500,6,0.5,0.8,0.1,0.839454,68
438,500,6,0.5,0.8,0.01,0.841286,500
439,500,6,0.5,0.8,0.001,0.829136,500
440,500,6,0.5,0.8,1e-04,0.824371,73
441,500,6,0.5,1,0.1,0.838789,62
442,500,6,0.5,1,0.01,0.841027,499
443,500,6,0.5,1,0.001,0.827824,500
444,500,6,0.5,1,1e-04,0.824003,192
445,500,6,0.75,0.6,0.1,0.840137,68
446,500,6,0.75,0.6,0.01,0.840898,500
447,500,6,0.75,0.6,0.001,0.818916,22
448,500,6,0.75,0.6,1e-04,0.818548,22
449,500,6,0.75,0.8,0.1,0.840673,73
450,500,6,0.75,0.8,0.01,0.841326,500
451,500,6,0.75,0.8,0.001,0.825288,70
452,500,6,0.75,0.8,1e-04,0.824289,55
453,500,6,0.75,1,0.1,0.84018,57
454,500,6,0.75,1,0.01,0.840626,500
455,500,6,0.75,1,0.001,0.82686,497
456,500,6,0.75,1,1e-04,0.82204,46
457,500,6,1,0.6,0.1,0.840674,92
458,500,6,1,0.6,0.01,0.840356,500
459,500,6,1,0.6,0.001,0.823416,500
460,500,6,1,0.6,1e-04,0.815682,23
461,500,6,1,0.8,0.1,0.839967,59
462,500,6,1,0.8,0.01,0.840375,480
463,500,6,1,0.8,0.001,0.827275,499
464,500,6,1,0.8,1e-04,0.820239,216
465,500,6,1,1,0.1,0.838792,93
466,500,6,1,1,0.01,0.838975,500
467,500,6,1,1,0.001,0.823561,496
468,500,6,1,1,1e-04,0.811329,439
469,500,8,0.5,0.6,0.1,0.83741,76
470,500,8,0.5,0.6,0.01,0.840108,500
471,500,8,0.5,0.6,0.001,0.81877,22
472,500,8,0.5,0.6,1e-04,0.81837,22
473,500,8,0.5,0.8,0.1,0.837775,50
474,500,8,0.5,0.8,0.01,0.840821,494
475,500,8,0.5,0.8,0.001,0.829849,500
476,500,8,0.5,0.8,1e-04,0.824948,71
477,500,8,0.5,1,0.1,0.837223,50
478,500,8,0.5,1,0.01,0.840478,497
479,500,8,0.5,1,0.001,0.828667,500
480,500,8,0.5,1,1e-04,0.824574,159
481,500,8,0.75,0.6,0.1,0.839601,71
482,500,8,0.75,0.6,0.01,0.840261,500
483,500,8,0.75,0.6,0.001,0.822044,26
484,500,8,0.75,0.6,1e-04,0.821456,22
485,500,8,0.75,0.8,0.1,0.838537,45
486,500,8,0.75,0.8,0.01,0.840959,437
487,500,8,0.75,0.8,0.001,0.830102,495
488,500,8,0.75,0.8,1e-04,0.826066,71
489,500,8,0.75,1,0.1,0.838648,47
490,500,8,0.75,1,0.01,0.840214,476
491,500,8,0.75,1,0.001,0.827846,496
492,500,8,0.75,1,1e-04,0.823808,256
493,500,8,1,0.6,0.1,0.837894,78
494,500,8,1,0.6,0.01,0.839487,500
495,500,8,1,0.6,0.001,0.82494,498
496,500,8,1,0.6,1e-04,0.819968,498
497,500,8,1,0.8,0.1,0.838536,39
498,500,8,1,0.8,0.01,0.839677,398
499,500,8,1,0.8,0.001,0.82809,500
500,500,8,1,0.8,1e-04,0.821424,93
501,500,8,1,1,0.1,0.83708,39
502,500,8,1,1,0.01,0.837545,446
503,500,8,1,1,0.001,0.824333,500
504,500,8,1,1,1e-04,0.811373,269
505,500,10,0.5,0.6,0.1,0.835135,67
506,500,10,0.5,0.6,0.01,0.838605,500
507,500,10,0.5,0.6,0.001,0.825938,499
508,500,10,0.5,0.6,1e-04,0.819302,22
509,500,10,0.5,0.8,0.1,0.835489,44
510,500,10,0.5,0.8,0.01,0.839029,386
511,500,10,0.5,0.8,0.001,0.830332,495
512,500,10,0.5,0.8,1e-04,0.826883,489
513,500,10,0.5,1,0.1,0.835203,33
514,500,10,0.5,1,0.01,0.838972,377
515,500,10,0.5,1,0.001,0.828896,500
516,500,10,0.5,1,1e-04,0.82429,38
517,500,10,0.75,0.6,0.1,0.835404,64
518,500,10,0.75,0.6,0.01,0.838068,500
519,500,10,0.75,0.6,0.001,0.822775,22
520,500,10,0.75,0.6,1e-04,0.82274,22
521,500,10,0.75,0.8,0.1,0.836318,67
522,500,10,0.75,0.8,0.01,0.839562,363
523,500,10,0.75,0.8,0.001,0.830845,499
524,500,10,0.75,0.8,1e-04,0.826628,71
525,500,10,0.75,1,0.1,0.835027,33
526,500,10,0.75,1,0.01,0.838397,358
527,500,10,0.75,1,0.001,0.828493,500
528,500,10,0.75,1,1e-04,0.823952,40
529,500,10,1,0.6,0.1,0.833997,86
530,500,10,1,0.6,0.01,0.837158,406
531,500,10,1,0.6,0.001,0.825519,500
532,500,10,1,0.6,1e-04,0.820856,487
533,500,10,1,0.8,0.1,0.834996,65
534,500,10,1,0.8,0.01,0.837563,375
535,500,10,1,0.8,0.001,0.828743,500
536,500,10,1,0.8,1e-04,0.823502,416
537,500,10,1,1,0.1,0.83334,69
538,500,10,1,1,0.01,0.833644,315
539,500,10,1,1,0.001,0.824672,500
540,500,10,1,1,1e-04,0.811233,246
